           1 - subshell number
           1 - subshell index
   K (1s1/2) - subshell label
  3.4565E+04 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         11         14       4.54623E+03  6.24155E-04
         11         17       4.59040E+03  4.01375E-06
         11         18       4.60166E+03  2.00687E-06
         11         19       4.60305E+03  1.18408E-04
         12         12       4.47874E+03  1.75771E-03
         12         13       4.55688E+03  1.27636E-03
         12         14       4.55894E+03  2.07905E-03
         12         17       4.60311E+03  1.18886E-04
         12         18       4.61437E+03  1.27731E-04
         12         19       4.61576E+03  3.34063E-04
         13         13       4.63502E+03  1.76674E-04
         13         14       4.63708E+03  3.11867E-03
         13         17       4.68125E+03  7.68140E-06
         13         18       4.69251E+03  8.77907E-06
         13         19       4.69390E+03  1.31689E-04
         14         14       4.63914E+03  2.27414E-03
         14         17       4.68331E+03  9.17935E-06
         14         18       4.69457E+03  7.22866E-05
         14         19       4.69596E+03  2.27192E-04
         17         17       4.72748E+03  1.74576E-06
         17         19       4.74013E+03  1.92042E-05
         18         19       4.75139E+03  1.56510E-05
         19         19       4.75278E+03  2.14940E-05
 
           5 - subshell number
           5 - subshell index
   M1(3s1/2) - subshell label
  1.1487E+03 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          6          0       1.32530E+02  1.26204E-05
          7          0       1.95440E+02  8.43362E-05
         11          0       9.61310E+02  2.27950E-04
         12          0       9.74020E+02  3.09248E-04
         18          0       1.10965E+03  2.84097E-05
         19          0       1.11104E+03  3.79478E-05
          6         13       6.26900E+01  8.98435E-02
          6         14       6.47500E+01  1.23229E-01
          6         17       1.08920E+02  9.08811E-03
          6         18       1.20180E+02  6.50251E-03
          6         19       1.21570E+02  1.08334E-02
          7         11       3.47500E+01  9.52022E-02
          7         12       4.74600E+01  1.46209E-01
          7         13       1.25600E+02  6.59116E-02
          7         14       1.27660E+02  9.62122E-02
          7         17       1.71830E+02  1.21415E-02
          7         18       1.83090E+02  9.05711E-03
          7         19       1.84480E+02  1.35936E-02
          8         10       2.22720E+02  3.60225E-02
          8         11       2.70400E+02  7.61524E-03
          8         12       2.83110E+02  5.98012E-03
          8         13       3.61250E+02  9.60553E-03
          8         14       3.63310E+02  1.17826E-02
          8         17       4.07480E+02  3.59419E-03
          8         18       4.18740E+02  6.33647E-04
          8         19       4.20130E+02  4.63705E-04
          9         10       2.36110E+02  5.26696E-02
          9         11       2.83790E+02  1.89730E-03
          9         12       2.96500E+02  1.49167E-02
          9         13       3.74640E+02  1.24389E-02
          9         14       3.76700E+02  1.95409E-02
          9         17       4.20870E+02  5.22473E-03
          9         18       4.32130E+02  1.46893E-04
          9         19       4.33520E+02  1.16445E-03
         10         10       7.05260E+02  8.51591E-03
         10         11       7.52940E+02  1.37313E-02
         10         12       7.65650E+02  2.52760E-02
         10         13       8.43790E+02  2.47403E-02
         10         14       8.45850E+02  3.60446E-02
         10         17       8.90020E+02  2.02363E-03
         10         18       9.01280E+02  1.39959E-03
         10         19       9.02670E+02  2.44753E-03
         11         11       8.00620E+02  7.60174E-04
         11         12       8.13330E+02  1.85598E-03
         11         13       8.91470E+02  1.09414E-03
         11         14       8.93530E+02  4.03762E-04
         11         17       9.37700E+02  1.29853E-03
         11         18       9.48960E+02  1.28774E-04
         11         19       9.50350E+02  1.45389E-04
         12         12       8.26040E+02  2.40546E-03
         12         13       9.04180E+02  1.03949E-03
         12         14       9.06240E+02  2.90518E-03
         12         17       9.50410E+02  2.31723E-03
         12         18       9.61670E+02  1.54806E-04
         12         19       9.63060E+02  3.97824E-04
         13         13       9.82320E+02  3.13120E-04
         13         14       9.84380E+02  1.11218E-03
         13         17       1.02855E+03  2.31403E-03
         13         18       1.03981E+03  8.55546E-05
         13         19       1.04120E+03  8.22293E-05
         14         14       9.86440E+02  7.44067E-04
         14         17       1.03061E+03  3.39165E-03
         14         18       1.04187E+03  3.00970E-05
         14         19       1.04326E+03  2.35758E-04
         17         17       1.07478E+03  8.60760E-05
         17         18       1.08604E+03  1.02014E-04
         17         19       1.08743E+03  1.78524E-04
         18         18       1.09730E+03  2.23235E-06
         18         19       1.09869E+03  5.58118E-06
         19         19       1.10008E+03  1.05390E-05
 
           6 - subshell number
           6 - subshell index
   M2(3p1/2) - subshell label
  1.0021E+03 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          8          0       2.98560E+02  4.23922E-04
         10          0       7.81100E+02  2.93474E-04
         13          0       9.19630E+02  1.10941E-03
         17          0       9.65860E+02  4.42907E-05
          7         14       0.00000E+00  4.54615E-02
          7         17       3.93000E+01  8.17419E-03
          7         18       5.05600E+01  6.75548E-03
          7         19       5.19500E+01  7.95812E-03
          8         10       9.01900E+01  1.26439E-01
          8         11       1.37870E+02  1.28225E-01
          8         12       1.50580E+02  1.87814E-01
          8         13       2.28720E+02  5.27275E-02
          8         14       2.30780E+02  5.66639E-02
          8         17       2.74950E+02  1.81619E-02
          8         18       2.86210E+02  1.15331E-02
